tier,division,puuid,leagueId,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
SILVER,II,8D-gA9zAYCg2hCuL9-GOFPxJy2O2lVZzJTEbKr1TNoss6tEGu4d4KcYW9bSBYxzEhthQKRm7_uFHcA,683065a0-26dc-4339-ad2f-765dd0cc81b8,69,15,23,False,False,False,False
SILVER,I,J0UGVkG6r60MnW8GaGkeTK3vBRsSsGLsURjs5MuXFbq4D4i-z7-hNGGIYqHQbxkxNPPEE9MhAlLJKQ,d61d40f0-3cf4-4fb1-9006-2ae27cc9920b,73,5,1,False,False,False,False
SILVER,IV,grxJZHnWm6v4PfpFqopiIy4D6XM3dmKNY0mbKL62P6bVV4p6JVrLP8aSDxUc_WwWnVHSZUwcfx_nQA,37f0f907-6882-4cc6-8680-20bf00de074e,60,1,5,False,False,False,False
SILVER,III,Tk0msiAzpEc_sDE_j53oT89dR-LlV5cOCz-5Cov6P-PbXhGwbRRc36TNA1SEYKOEuVPinhptPu5wrg,85478959-14b4-4c93-8730-09fd97a5f77d,85,6,10,False,False,False,False
SILVER,IV,_Sso_canvb7HGlF-f26cTVaqT9aL2ekGTKhxk0d-zjUB5t6V7HjYPVefZ02dlecna-aJnNHGG9yMaA,89ec1d01-228d-40fc-916c-758ff57215ee,75,2,7,False,False,True,False
SILVER,I,c_fdLFT1KamJD5GdisalYfE4OO9cwpDba06xB4MGyfMkNO02_cU_k8IY8WDEgEKleaW9o-msfKEE-g,7bf79066-2df0-4e00-a099-a2cc0e41f38a,56,3,2,False,False,False,False
SILVER,II,w8aTu7vOmchcOe0339ItQY6BOqpQIlP1porjIEKEtB0wzjYyJfIawgW3Wl9RPO0FVHaOpFMMDUhJRg,d7508b79-cfb8-4432-a05b-321d98787bd8,5,9,8,False,False,False,False
SILVER,III,NyLvAUsEhUQ3U_IFrNgGdvamKjvU_e_nEj3_1VwCL1eLYeN8Pi6XIVLml6XwGF12Hc0esJXRCQiJQw,412340fc-adbe-49e9-99ae-ce79581f0b4c,27,6,4,False,False,False,False
SILVER,IV,skyc4EbELGjdB8uY4RMMdIj7as-_wgrGFyH1DjRgpZQRHuAOXH70swnWt0U_JqnsCtfoEKgndLFSRg,4737af9d-8b60-4271-8ab8-636db2d36897,41,1,6,False,False,False,False
SILVER,IV,kHkbcqAcFcmbEe08j51qvSKxw8gN8cVz5GaC_K12u-zY8AQ3c5Zecp4X4jVGkeTgaAQ1b5GD14F2MQ,d5a6000a-aa30-4836-9143-b43916126766,29,18,16,False,False,True,False
SILVER,IV,kGpv-MKIphmsK9xY3FIRpDyJd38t8Q3mYHpRH6wDVX3BONesNkcwEsF_jDFYmcs04dgwLUTX3MfDmQ,55db1cc5-2414-4a7f-98f1-efa23aa54d76,19,5,2,False,False,False,False
SILVER,III,rq5-aybiMLW5RhBAzdWrIsDhY4NvbLuO0Yri5n2ybbf3Hm2ZDqM3oOdx0JLsp8TGqe_3ohiGRjxlcg,3e3b5f23-ee3c-4ba2-8399-779d54d85ba3,81,3,6,False,False,False,False
SILVER,II,FL26F4iIpNz5rXLFIM04qZZkquMx9jbhT06WiS8ruMGMK65YYZpkVZAXlPx3ru8gLvzLhZJGFDgJ9Q,1f610042-7a8b-42c4-be94-8a2413794b8a,1,3,2,False,False,False,False
SILVER,IV,TF9HgV6qMiGGz5S4MxarIDvuLNXOwNvxZOToMmU7lvOBiMdHRO4Dch6POZ6QyabRXeL_RHVJd56JTA,67d930f0-775d-4790-9983-5a3a3b3bda5a,99,30,35,False,False,False,False
SILVER,IV,N8n-O6l87N_on5M-QMZAUjccZJwwdIJp46nIuZSMBQIRkWguIJcuGLdhVSNx8xwny_Z6kYYJezwAiQ,16c23d4b-c709-4399-a353-fcbf5b0a66e9,57,3,6,False,False,False,False
SILVER,II,dsQFAOmf5vu8WzTpfqganrmIbZqrPu329SaekAR1Ij7gnzh7HSqn8VQI4YXAPNtGyjVc6U0l1q7uOA,1ed67292-06fe-4bd9-bead-7e861718f0bf,66,16,11,False,False,False,False
SILVER,IV,yUO3CeyWcFiqH5AbB3Ptn6imuLRz1QBBemU0W-ysdZE4z1C6FnswUi0DfqqS3t6WBmW_dQvUvrKlHQ,fe99495f-61e8-4348-b24e-917a672d3dad,25,3,6,False,False,False,False
SILVER,I,xv7m0dsc2UT53GpSQWnrG-TdYercNsFW8a3-qimSoft30F2DAtp4MsD64mKUld8QKPvn7c62iegXjw,b028f001-afde-469c-98c3-a37007843440,2,40,39,False,False,False,False
SILVER,II,E40PVXxTkIA2shHmqxKd2eTrRYUnAVncWthMzNVpSgTajUDDoA7tABvq8qMXA_X2MwL5q6XKJ5_PdA,7ff97a6c-dbb4-4b74-9c5c-c569e807fc80,65,2,3,False,False,False,False
SILVER,I,0dnPoG4-KmkiaVR8W0Hax7LO9nLPfB8z0JHm5n2jYVzU0qszQYfE-EeZ6zpP4FUhbwqLLFZOEZq55g,f228c444-ac5d-4f45-b80e-dbb148049350,30,23,37,False,False,True,False
SILVER,IV,LjwxAtAaYNFDodapiP64hiM2cfMgikMTwFQJzpB1lTD18oOnXXQIhpi11XffMuPFiYIS46KqtwR2TA,376b19cf-0494-4d31-b2ef-ce4f7cbf9f40,80,21,9,False,False,True,False
SILVER,II,0I1leOHc2jDkZs8ocFzkTxx9QaQWTNaA9smk62v0qD0dR7QHMsThv3x8lZiAQ9dPMHNx4QoObzuIJw,5a01b9a1-6149-482a-80a0-f2e46d9ad2b7,61,6,7,True,False,False,False
SILVER,I,AC0a9im5gcS48YbX-ebsmXV98CadLTsTiR1xhKs08MsLdVbtm8pra7mAt5Rx0OQIp9aCyd3Pm13r3Q,f1434fe1-236f-48c6-8b28-b1610533815c,65,17,15,False,False,False,False
SILVER,III,ixPgzm00opbxX-s6IU1JnfR9tF2DCNfo9J69qgxu7vF4KPQEXHuIKQIh4t5mQkYf93gsR6-UIllR0A,b3199405-014e-4d6f-ad7e-b0b7de1e197d,50,5,9,False,False,False,False
SILVER,IV,cBRn25mN5bpWwUhP_OKV5KhrAXV5EREdNDiB8oVbtCw7IPg2UctbTARaQGddh-TN5oomobgE3VmCCg,df740b13-f3d7-49cc-9456-ad625842c7a2,97,1,8,False,False,False,False
SILVER,III,VMn6cDPh46Ca7X25WW-4KCcob1b-nj8WOktA-M4fwl8k_NSH2tCWN64gqWrYiiNwCfbhWKP74PzUeA,ff8bf43f-b68d-4c55-ae37-58cc84d0a089,15,3,6,False,False,False,False
SILVER,I,2y6IeP8iCWDle9vi1b8zkakEqXHQ6cpAD7ubrxUKrJhFqKID7zdNHN9T_OWfv-Ohi4mQ6czdERlHEg,1137b91a-b858-4184-8c42-831de699b934,5,3,2,False,False,False,False
SILVER,II,fsIsWop26e0kkLwrhFvOGmLT906UBI_evlTifGeUknRbJ_5FvrOH2kfXWzJ8RztFNMqbplJ27K_A7g,59111dd5-d87b-44ec-b399-3e96f469f77f,5,3,8,False,False,False,False
SILVER,I,ryGDnua8BresNv5CXQd1eF8VTAalKguJIAvAYJO7LQh3OyU5FHH89sxkl_tGwiIO3XFRxWr4XdeMLQ,d0158a2d-f5dc-47be-b656-b5b3b4a69e11,25,10,18,False,False,False,False
SILVER,IV,GqX-OeTTPrgL25lT3APOWHUO9ItRFqzN3NULOU_V9Ikahhc4EWpl-0HzZBe6zFXAtcH-06MS6NFbEw,9c3a86d1-486e-486a-855f-bf04e509db19,0,5,5,False,False,False,False
SILVER,I,OUmAAk6Z6dp-WeIdlq9axfIVREbfWQU6SsN1YimK8oy8yLp8P3_We8wuVkGWHwv6bO8sS7zXD7Q-1Q,72a76ffa-5de6-411e-bcdf-94e4ec7bb73c,43,30,40,False,False,True,False
SILVER,III,frx9YQMb1wGRsFKtFGJf4mN0xK_Eoy6MIEMMihk3A6SITYcpgAyCKJHOzspJh2amXlmcJG9kl9jDtQ,cca1fc54-a8ee-42d3-b531-ef300138a45e,93,21,21,True,False,False,False
