matchId,gameMode,queueId,gameDuration,tier,platform
VN2_1237499186,CLASSIC,420,1768,BRONZE,br1
VN2_1247738546,URF,900,1284,BRONZE,br1
VN2_1233416513,CLASSIC,420,1543,BRONZE,br1
VN2_1223571213,ARAM,450,738,BRONZE,br1
VN2_1250394690,CHERRY,1700,1966,BRONZE,br1
VN2_1242946361,CLASSIC,420,1410,BRONZE,br1
VN2_1209427547,CLASSIC,440,1309,BRONZE,br1
VN2_1215264268,CLASSIC,420,2029,BRONZE,br1
VN2_1173006641,CLASSIC,420,1797,BRONZE,br1
VN2_1244533446,CLASSIC,420,1748,BRONZE,br1
VN2_1194621470,CLASSIC,400,1942,BRONZE,br1
VN2_1217187059,CLASSIC,420,1700,BRONZE,br1
VN2_1215073412,CLASSIC,420,1473,BRONZE,br1
VN2_1217332655,CLASSIC,420,1434,BRONZE,br1
VN2_1212426113,SWIFTPLAY,480,1046,BRONZE,br1
VN2_1253072828,CLASSIC,420,2497,BRONZE,br1
VN2_1235582940,CLASSIC,420,94,BRONZE,br1
VN2_1241986979,URF,900,1197,BRONZE,br1
VN2_1221063686,CLASSIC,420,1597,BRONZE,br1
VN2_1249435096,URF,900,1614,BRONZE,br1
VN2_1226710528,CLASSIC,420,233,BRONZE,br1
VN2_1253496282,CLASSIC,420,1566,BRONZE,br1
VN2_1222395061,CLASSIC,420,1469,BRONZE,br1
VN2_1223776337,CLASSIC,440,2463,BRONZE,br1
VN2_1248008688,URF,900,1196,BRONZE,br1
VN2_1253639534,CLASSIC,420,1354,BRONZE,br1
VN2_1229403843,CLASSIC,440,1914,BRONZE,br1
VN2_1212045842,CLASSIC,420,1935,BRONZE,br1
VN2_1227608454,CLASSIC,440,1697,BRONZE,br1
VN2_1250784335,URF,900,968,BRONZE,br1
VN2_1226959871,CLASSIC,420,1890,BRONZE,br1
VN2_1205598342,URF,900,1180,BRONZE,br1
VN2_1231115228,CLASSIC,420,1125,BRONZE,br1
VN2_1246307380,CLASSIC,420,1677,BRONZE,br1
VN2_1229773381,CLASSIC,420,1635,BRONZE,br1
VN2_1223040402,CLASSIC,440,1555,BRONZE,br1
VN2_1230222031,CLASSIC,420,1546,BRONZE,br1
VN2_1244212341,CLASSIC,440,1889,BRONZE,br1
VN2_1253996051,URF,900,2134,BRONZE,br1
VN2_1246484709,SWIFTPLAY,480,1351,BRONZE,br1
VN2_1243930179,CLASSIC,400,1891,BRONZE,br1
VN2_1159383088,URF,900,1402,BRONZE,br1
VN2_1250238390,CLASSIC,420,1665,BRONZE,br1
VN2_1193807747,CLASSIC,420,2072,BRONZE,br1
VN2_1220350605,CLASSIC,420,1626,BRONZE,br1
VN2_1238285748,CLASSIC,420,2074,BRONZE,br1
VN2_1231772071,CLASSIC,440,1901,BRONZE,br1
VN2_1251510385,URF,900,1159,BRONZE,br1
VN2_1229463560,CLASSIC,420,1656,BRONZE,br1
VN2_1152622889,URF,900,1427,BRONZE,br1
VN2_1218835769,CLASSIC,420,1538,BRONZE,br1
VN2_1253167425,CLASSIC,400,955,BRONZE,br1
VN2_1189778207,CLASSIC,440,2558,BRONZE,br1
VN2_1212326383,ARAM,450,1668,BRONZE,br1
VN2_1253357485,CLASSIC,420,1802,BRONZE,br1
VN2_1227890025,CLASSIC,420,1783,BRONZE,br1
VN2_1233628855,URF,900,1275,BRONZE,br1
VN2_1229023652,ARAM,450,797,BRONZE,br1
VN2_1242903408,URF,900,761,BRONZE,br1
VN2_1234077720,SWIFTPLAY,480,1550,BRONZE,br1
VN2_1250119171,URF,900,660,BRONZE,br1
VN2_1209429586,CLASSIC,420,2332,BRONZE,br1
VN2_1243290043,CLASSIC,420,1033,BRONZE,br1
VN2_1222954606,CLASSIC,420,1990,BRONZE,br1
VN2_1239736750,CLASSIC,420,1734,BRONZE,br1
VN2_1208973013,CLASSIC,420,2525,BRONZE,br1
VN2_1218880405,CLASSIC,420,2326,BRONZE,br1
VN2_1244424644,CLASSIC,420,1664,BRONZE,br1
VN2_1247817787,CLASSIC,420,86,BRONZE,br1
VN2_1244246453,CLASSIC,420,1728,BRONZE,br1
VN2_1251438875,SWIFTPLAY,480,1290,BRONZE,br1
VN2_1223378228,CLASSIC,420,1940,BRONZE,br1
VN2_1213878798,CLASSIC,420,2016,BRONZE,br1
VN2_1252953776,URF,900,1257,BRONZE,br1
VN2_1194557456,URF,900,1161,BRONZE,br1
VN2_1252819799,CLASSIC,420,2988,BRONZE,br1
VN2_1248778701,CLASSIC,420,1972,BRONZE,br1
VN2_1214151556,CLASSIC,420,1764,BRONZE,br1
VN2_1251616791,CLASSIC,420,2109,BRONZE,br1
VN2_354947746,URF,1900,1110,BRONZE,br1
VN2_1251767676,CLASSIC,440,2053,BRONZE,br1
VN2_1221515425,CLASSIC,440,2016,BRONZE,br1
VN2_1221510240,CLASSIC,420,2033,BRONZE,br1
VN2_1241699496,CLASSIC,420,1329,BRONZE,br1
VN2_1207161434,CLASSIC,420,2515,BRONZE,br1
VN2_1253434684,URF,900,830,BRONZE,br1
VN2_1159827996,CLASSIC,440,2582,BRONZE,br1
VN2_1249387246,CLASSIC,420,1622,BRONZE,br1
VN2_1098598506,CLASSIC,420,1953,BRONZE,br1
VN2_1250788011,CLASSIC,440,1586,BRONZE,br1
VN2_1254325470,CLASSIC,420,1889,BRONZE,br1
VN2_1219299417,CLASSIC,420,2696,BRONZE,br1
VN2_1197509077,CLASSIC,420,1432,BRONZE,br1
VN2_1195570122,URF,900,1205,BRONZE,br1
VN2_1228684033,CLASSIC,420,1616,BRONZE,br1
VN2_1254561791,CHERRY,1700,1396,BRONZE,br1
VN2_1254261001,CLASSIC,420,1821,BRONZE,br1
VN2_1235362228,URF,900,831,BRONZE,br1
VN2_1253543169,CLASSIC,420,2269,BRONZE,br1
VN2_1243461315,URF,900,1511,BRONZE,br1
VN2_1242668940,CHERRY,1700,1208,BRONZE,br1
VN2_1199369819,CLASSIC,420,929,BRONZE,br1
VN2_1211025873,CLASSIC,420,84,BRONZE,br1
VN2_1238236749,CLASSIC,420,1418,BRONZE,br1
VN2_1221530097,CLASSIC,420,2075,BRONZE,br1
VN2_1207559498,CLASSIC,420,1891,BRONZE,br1
VN2_1233085652,CLASSIC,420,1584,BRONZE,br1
VN2_1243997376,CLASSIC,420,2852,BRONZE,br1
VN2_1155981000,CLASSIC,420,1983,BRONZE,br1
VN2_1246529875,CLASSIC,420,1509,BRONZE,br1
VN2_1218597416,CLASSIC,420,1546,BRONZE,br1
VN2_1224420229,CLASSIC,420,94,BRONZE,br1
VN2_1034993392,ARAM,450,853,BRONZE,br1
VN2_1245099242,URF,900,1379,BRONZE,br1
VN2_1224659765,CLASSIC,420,1302,BRONZE,br1
VN2_1219358766,CLASSIC,420,2305,BRONZE,br1
VN2_1243898489,CLASSIC,420,2053,BRONZE,br1
VN2_1215864924,CLASSIC,420,1641,BRONZE,br1
VN2_1244277194,CLASSIC,420,2368,BRONZE,br1
VN2_1241499334,SWIFTPLAY,480,1576,BRONZE,br1
VN2_1236645187,CLASSIC,440,1662,BRONZE,br1
VN2_1220514904,CLASSIC,420,2151,BRONZE,br1
VN2_1254618673,CLASSIC,420,1648,BRONZE,br1
VN2_1244927539,CLASSIC,420,1792,BRONZE,br1
VN2_1212308284,CLASSIC,420,1690,BRONZE,br1
VN2_1241780404,CLASSIC,420,2286,BRONZE,br1
VN2_1249702011,CLASSIC,420,1479,BRONZE,br1
VN2_1232875816,CLASSIC,420,2363,BRONZE,br1
VN2_1229415123,CLASSIC,420,1622,BRONZE,br1
VN2_1250883036,CLASSIC,420,1686,BRONZE,br1
VN2_1231308997,CLASSIC,420,2537,BRONZE,br1
VN2_1201031943,CLASSIC,420,2171,BRONZE,br1
VN2_1230766768,CLASSIC,420,1947,BRONZE,br1
VN2_1205696410,URF,900,1209,BRONZE,br1
VN2_1250517827,CLASSIC,420,2121,BRONZE,br1
VN2_1194765146,CLASSIC,400,1553,BRONZE,br1
VN2_1235347636,URF,900,1229,BRONZE,br1
VN2_1212791560,CLASSIC,420,1935,BRONZE,br1
VN2_1246468627,CLASSIC,420,1919,BRONZE,br1
VN2_1245250558,CLASSIC,420,2137,BRONZE,br1
VN2_1245011253,URF,900,697,BRONZE,br1
VN2_1197659095,CLASSIC,420,1787,BRONZE,br1
VN2_1207664445,CLASSIC,400,3051,BRONZE,br1
VN2_1210246031,CLASSIC,420,1428,BRONZE,br1
VN2_1245026487,CLASSIC,420,1761,BRONZE,br1
VN2_1245250247,CLASSIC,420,2047,BRONZE,br1
VN2_1252470600,CLASSIC,420,2046,BRONZE,br1
VN2_1201797082,CLASSIC,420,2166,BRONZE,br1
VN2_1212626621,CLASSIC,420,1394,BRONZE,br1
VN2_1250824483,CLASSIC,420,1632,BRONZE,br1
VN2_1245429906,CLASSIC,420,1124,BRONZE,br1
VN2_1243755279,CLASSIC,420,1129,BRONZE,br1
VN2_1247775102,CLASSIC,420,1618,BRONZE,br1
VN2_1237815826,CLASSIC,420,2714,BRONZE,br1
VN2_1233507703,ARAM,450,2636,BRONZE,br1
VN2_1213743847,CLASSIC,420,2379,BRONZE,br1
VN2_1226899784,SWIFTPLAY,480,1617,BRONZE,br1
VN2_1248461434,CLASSIC,420,2039,BRONZE,br1
VN2_1230978032,CLASSIC,420,1972,BRONZE,br1
VN2_1223300894,CLASSIC,420,1294,BRONZE,br1
VN2_1252028973,URF,900,1423,BRONZE,br1
VN2_1247521607,CLASSIC,420,1869,BRONZE,br1
VN2_1251124391,CLASSIC,400,2279,BRONZE,br1
VN2_1253510220,CHERRY,1700,1574,BRONZE,br1
VN2_1223666750,CLASSIC,400,137,BRONZE,br1
VN2_914265497,CLASSIC,440,1585,BRONZE,br1
VN2_1191463672,CLASSIC,400,1467,BRONZE,br1
VN2_1252847278,CLASSIC,420,2131,BRONZE,br1
VN2_1240774092,CLASSIC,400,2649,BRONZE,br1
VN2_1228846808,CLASSIC,420,1449,BRONZE,br1
VN2_1243837523,CLASSIC,440,1968,BRONZE,br1
VN2_1251233427,CLASSIC,420,1780,BRONZE,br1
VN2_1248754563,CLASSIC,420,1941,BRONZE,br1
VN2_1250681484,CLASSIC,420,1388,BRONZE,br1
VN2_1246677585,URF,900,1157,BRONZE,br1
VN2_1031458864,CLASSIC,420,2653,BRONZE,br1
VN2_1220024665,CLASSIC,420,1389,BRONZE,br1
VN2_1236652404,URF,900,1526,BRONZE,br1
VN2_1242380269,URF,900,1531,BRONZE,br1
VN2_1252885316,URF,900,1171,BRONZE,br1
VN2_1251660440,URF,900,1351,BRONZE,br1
VN2_1231560596,CLASSIC,440,927,BRONZE,br1
VN2_1246167213,CLASSIC,420,2494,BRONZE,br1
VN2_1224741042,CLASSIC,420,2150,BRONZE,br1
VN2_1190344354,CLASSIC,420,1742,BRONZE,br1
VN2_1252989943,URF,900,859,BRONZE,br1
VN2_1249852296,CLASSIC,420,1189,BRONZE,br1
VN2_1224258625,SWIFTPLAY,480,1209,BRONZE,br1
VN2_1155678185,URF,900,1218,BRONZE,br1
VN2_1241184159,CLASSIC,420,1731,BRONZE,br1
VN2_1237742140,CLASSIC,440,1973,BRONZE,br1
VN2_1241145223,CLASSIC,420,108,BRONZE,br1
VN2_1236456091,CLASSIC,440,2677,BRONZE,br1
VN2_1247387692,URF,900,681,BRONZE,br1
VN2_1245297486,URF,900,1136,BRONZE,br1
VN2_1241476281,CLASSIC,420,2280,BRONZE,br1
VN2_1247071972,CLASSIC,420,97,BRONZE,br1
VN2_1217585322,CLASSIC,420,1956,BRONZE,br1
VN2_1234355980,CLASSIC,420,2042,BRONZE,br1
VN2_1250003615,CLASSIC,420,99,BRONZE,br1
VN2_1234489960,CLASSIC,420,2022,BRONZE,br1
