tier,division,puuid,leagueId,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
BRONZE,II,hoRJhuNisDQJ_B9skusfKv5QkFy2d3MXz5UCVIGzl320lAo1M4GtIfGTMN_PvhlGLKi32BPESB-qrQ,b58212d1-53f0-4d33-9576-d7d70f5ba78d,19,6,5,False,False,False,False
BRONZE,I,teqJaPtQuqqvgsGsyiZqY4Tj0wcNo6xjUJ2RK8wMY9QMSYnhw-lcFGMGllHMKkPxzLRto4mc26greg,01143296-efb7-4e34-9ecd-3c7f79a907de,15,8,11,False,False,False,False
BRONZE,III,D2m4vOsHVEK9q0-ijqZZhFdC3XGhyjwQIJWHJHOcUvYTqTE8xMqtQ6OxKXj4D_bjfSgpw06joCXirw,044b3f6f-4dcd-4b29-9148-e618f498b8f7,44,11,8,False,False,False,False
BRONZE,IV,4jtJFMOaut1dqgGru6Wj64wLY5P6OzVb-WbARP6r1MIDJlp5py89aXDLB5G-_quN4R4hNgL9bfW7DA,866d775d-b0be-48b6-8a8c-9458ab5e1ec7,81,9,9,False,False,False,False
BRONZE,I,ziKw5hzYyee2nFUfE2YzHKx2cKBiWMHV8TExUpl3o2Q9UhDn4mxfz5k3_DVPqRYPtx0TNYMgq0lkVA,3d92e01a-0b9a-4b99-ac14-b53d036b2d80,63,6,8,False,False,False,False
BRONZE,II,zSB3umaTM5I97jrOMLJHB1wy7H3NN2nGavV-u1Gl4Byhx5N1oXSBzPat6cThNcBJQNIhX0b_RFNvAg,3c5b5ab5-a4c4-46f2-876a-713264fc592d,60,1,4,False,False,False,False
BRONZE,I,8E6Ym9mhpB4cRrixiH-EixPP_zIW4s4nK6znRLi8rJ7L3z4pVJYSHw0Wa8BspqEjG5D8jcYuv3FiAw,004da6e5-023e-412d-a9ca-dc592d1119d7,0,0,5,False,False,False,False
BRONZE,I,-uwTEI3hqqa7M21PCGvUQnfVSjp2Z9AzCbSsB8mc2_8sVi38E3AqCI3Bg6eNjk0wvBhQiYkaX39nqQ,82567788-4e7f-42f8-89d5-88bb794184c4,22,9,4,False,False,False,False
BRONZE,I,0LgIfuD8ytkaYdW7DPi61zwwavM0lFL4e8cGHqrIR8FzPv5tBr1Ge_nNWYaKHHtZrQ9_wueXtRdjeg,653e6f94-b806-4bf6-8cc1-48bcd83922f3,95,5,4,False,False,True,False
BRONZE,III,mXLcgijZRPge6yQh5IK6X-z5VEl_2LAk5EGc4R9qgN63sM4wwbZWNqAgX_QnRroy09EzcxGnG_-JmQ,8888c841-b223-4dea-b518-f8deede2a8ff,56,11,9,False,False,False,False
BRONZE,I,VR6IbyXg2GVtohiZA6QbGv_4hleVu-k6zzvyuXyN_S3GVvaNDXPLgjo7YKfCohQ1PBJPsA4BtqjXlw,a28ffac6-116c-4fa4-a48e-4cf49f462a78,78,13,13,False,False,False,False
